OTUs,Phylum,Frequency
Otu1,Ascomycota,84445
Otu48893,Ascomycota,17872
Otu87,Ascomycota,17004
Otu129,Ascomycota,15131
Otu21671,Ascomycota,12618
Otu79,Ascomycota,12614
Otu71365,Ascomycota,12230
Otu68,Ascomycota,11016
Otu32145,Ascomycota,10622
Otu173,Ascomycota,9801
Otu66,Ascomycota,9084
Otu263,Ascomycota,8050
Otu158,Ascomycota,8018
Otu136,Ascomycota,7521
Otu568,Ascomycota,6694
Otu370,Ascomycota,6119
Otu700,Ascomycota,5722
Otu13209,Ascomycota,5627
Otu38101,Ascomycota,4930
Otu297,Ascomycota,4874
Otu65,Ascomycota,4330
Otu299,Ascomycota,4150
Otu348,Ascomycota,4105
Otu467,Ascomycota,4058
Otu226,Ascomycota,4024
Otu318,Ascomycota,3654
Otu3405,Ascomycota,3578
Otu168,Ascomycota,3492
Otu1704,Ascomycota,3322
Otu35835,Ascomycota,3149
Otu51499,Ascomycota,3014
Otu37485,Ascomycota,2977
Otu484,Ascomycota,2860
Otu96,Ascomycota,2710
Otu137,Ascomycota,2681
Otu384,Ascomycota,2677
Otu30196,Ascomycota,2568
Otu508,Ascomycota,2562
Otu1649,Ascomycota,2468
Otu582,Basidiomycota,2435
Otu441,Ascomycota,2423
Otu40369,Ascomycota,2335
Otu492,Ascomycota,2116
Otu368,Ascomycota,2090
Otu1917,Ascomycota,1974
Otu410,Ascomycota,1953
Otu1584,Ascomycota,1890
Otu1093,Ascomycota,1821
Otu1042,Ascomycota,1814
Otu521,Ascomycota,1772
Otu2644,Ascomycota,1768
Otu416,Ascomycota,1725
Otu1451,Ascomycota,1675
Otu823,Ascomycota,1637
Otu963,Ascomycota,1633
Otu571,Ascomycota,1586
Otu30547,Ascomycota,1584
Otu745,Ascomycota,1554
Otu2134,Ascomycota,1543
Otu620,Basidiomycota,1510
Otu1252,Basidiomycota,1461
Otu29556,Ascomycota,1459
Otu1332,Basidiomycota,1445
Otu1117,Ascomycota,1394
Otu16294,Ascomycota,1379
Otu1489,Ascomycota,1315
Otu6158,Ascomycota,1278
Otu2567,Basidiomycota,1249
Otu1050,Ascomycota,1245
Otu1034,Ascomycota,1238
Otu82180,Ascomycota,1188
Otu21952,Ascomycota,1183
Otu1440,Ascomycota,1143
Otu116,Basidiomycota,1134
Otu54646,Ascomycota,1132
Otu10936,Ascomycota,1083
Otu1468,Basidiomycota,1075
Otu3418,Ascomycota,1071
Otu2870,Ascomycota,1052
Otu2544,Ascomycota,1026
Otu1975,Ascomycota,1013
Otu4148,Basidiomycota,999
Otu2314,Ascomycota,976
Otu423,Ascomycota,968
Otu1052,Ascomycota,968
Otu49741,Ascomycota,927
Otu4795,Ascomycota,906
Otu1204,Ascomycota,900
Otu2427,Ascomycota,876
Otu30358,Ascomycota,875
Otu1155,Ascomycota,864
Otu2306,Ascomycota,857
Otu3383,Ascomycota,842
Otu728,Ascomycota,824
Otu3001,Ascomycota,817
Otu34826,Ascomycota,811
Otu2056,Ascomycota,788
Otu38551,Ascomycota,785
Otu2239,Ascomycota,779
Otu2500,Ascomycota,779
Otu698,Ascomycota,762
Otu1642,Basidiomycota,755
Otu33013,Basidiomycota,750
Otu3107,Ascomycota,746
Otu2820,Ascomycota,732
Otu2344,Ascomycota,718
Otu38922,Ascomycota,700
Otu1900,Ascomycota,696
Otu1237,Ascomycota,695
Otu1849,Ascomycota,687
Otu1513,Basidiomycota,682
Otu40890,Ascomycota,678
Otu11077,Ascomycota,675
Otu2872,Ascomycota,670
Otu40363,Ascomycota,643
Otu1622,Basidiomycota,614
Otu1455,Ascomycota,611
Otu67410,Ascomycota,604
Otu2595,Basidiomycota,598
Otu14685,Ascomycota,558
Otu83284,Basidiomycota,555
Otu1890,Basidiomycota,543
Otu81378,Ascomycota,537
Otu1598,Ascomycota,536
Otu2486,Basidiomycota,533
Otu3003,Basidiomycota,529
Otu1836,Ascomycota,526
Otu69443,Ascomycota,521
Otu1905,Basidiomycota,516
Otu3108,Ascomycota,506
Otu1986,Ascomycota,504
Otu61743,Basidiomycota,500
Otu46896,Ascomycota,499
Otu26262,Ascomycota,499
Otu3810,Basidiomycota,499
Otu19632,Ascomycota,495
Otu1070,Ascomycota,489
Otu76446,Ascomycota,489
Otu2548,Ascomycota,480
Otu6081,Ascomycota,460
Otu2555,Ascomycota,455
Otu1604,Ascomycota,442
Otu3936,Ascomycota,440
Otu5220,Ascomycota,438
Otu1610,Basidiomycota,433
Otu2665,Ascomycota,427
Otu4991,Ascomycota,422
Otu33036,Ascomycota,420
Otu2186,Ascomycota,419
Otu69863,Ascomycota,402
Otu2172,Ascomycota,393
Otu2445,Ascomycota,377
Otu3321,Ascomycota,365
Otu18701,Ascomycota,356
Otu22452,Ascomycota,355
Otu53188,Ascomycota,347
Otu3597,Ascomycota,346
Otu2819,Ascomycota,345
Otu25201,Basidiomycota,342
Otu2986,Ascomycota,338
Otu3707,Ascomycota,335
Otu24632,Ascomycota,333
Otu54744,Ascomycota,332
Otu2000,Basidiomycota,332
Otu2081,Basidiomycota,331
Otu6803,Ascomycota,326
